,criterion,nEstimators,maxDepth,accuracy
196,entropy,170.0,9.0,0.8089887640449438
197,entropy,170.0,10.0,0.8
198,entropy,170.0,11.0,0.8134831460674157
199,entropy,170.0,12.0,0.802247191011236
200,entropy,170.0,13.0,0.80561797752809
201,entropy,170.0,14.0,0.7921348314606742
202,entropy,170.0,15.0,0.801123595505618
203,entropy,170.0,16.0,0.80561797752809
204,entropy,170.0,17.0,0.8146067415730336
205,entropy,170.0,18.0,0.8247191011235955
206,entropy,170.0,19.0,0.7921348314606742
207,entropy,170.0,20.0,0.7752808988764045
208,entropy,180.0,5.0,0.8123595505617978
209,entropy,180.0,6.0,0.798876404494382
210,entropy,180.0,7.0,0.8213483146067414
211,entropy,180.0,8.0,0.8123595505617978
212,entropy,180.0,9.0,0.7775280898876403
213,entropy,180.0,10.0,0.7842696629213484
214,entropy,180.0,11.0,0.7932584269662921
215,entropy,180.0,12.0,0.8112359550561798
216,entropy,180.0,13.0,0.8247191011235955
217,entropy,180.0,14.0,0.8067415730337079
218,entropy,180.0,15.0,0.7921348314606742
219,entropy,180.0,16.0,0.7966292134831461
220,entropy,180.0,17.0,0.7898876404494382
221,entropy,180.0,18.0,0.80561797752809
222,entropy,180.0,19.0,0.795505617977528
223,entropy,180.0,20.0,0.7955056179775282
224,entropy,190.0,5.0,0.8033707865168539
225,entropy,190.0,6.0,0.7921348314606742
226,entropy,190.0,7.0,0.8
227,entropy,190.0,8.0,0.8157303370786517
228,entropy,190.0,9.0,0.8123595505617978
229,entropy,190.0,10.0,0.8101123595505617
230,entropy,190.0,11.0,0.8213483146067416
231,entropy,190.0,12.0,0.7764044943820225
232,entropy,190.0,13.0,0.796629213483146
233,entropy,190.0,14.0,0.8078651685393259
234,entropy,190.0,15.0,0.7977528089887641
235,entropy,190.0,16.0,0.8157303370786517
236,entropy,190.0,17.0,0.7955056179775281
237,entropy,190.0,18.0,0.7910112359550562
238,entropy,190.0,19.0,0.7943820224719101
239,entropy,190.0,20.0,0.7898876404494382
240,entropy,200.0,5.0,0.8067415730337079
241,entropy,200.0,6.0,0.8292134831460676
242,entropy,200.0,7.0,0.8269662921348313
243,entropy,200.0,8.0,0.8033707865168539
244,entropy,200.0,9.0,0.7842696629213484
245,entropy,200.0,10.0,0.80561797752809
246,entropy,200.0,11.0,0.8235955056179776
247,entropy,200.0,12.0,0.8224719101123595
248,entropy,200.0,13.0,0.8269662921348315
249,entropy,200.0,14.0,0.7887640449438202
250,entropy,200.0,15.0,0.8247191011235955
251,entropy,200.0,16.0,0.7696629213483146
252,entropy,200.0,17.0,0.801123595505618
253,entropy,200.0,18.0,0.8
254,entropy,200.0,19.0,0.7842696629213484
255,entropy,200.0,20.0,0.8
256,gini,50.0,5.0,0.8303370786516855
257,gini,50.0,6.0,0.7932584269662921
258,gini,50.0,7.0,0.8168539325842696
259,gini,50.0,8.0,0.7932584269662921
260,gini,50.0,9.0,0.8235955056179775
261,gini,50.0,10.0,0.8
262,gini,50.0,11.0,0.79438202247191
263,gini,50.0,12.0,0.7853932584269663
264,gini,50.0,13.0,0.8146067415730338
265,gini,50.0,14.0,0.7921348314606741
266,gini,50.0,15.0,0.801123595505618
267,gini,50.0,16.0,0.7988764044943821
268,gini,50.0,17.0,0.7943820224719101
269,gini,50.0,18.0,0.7966292134831461
270,gini,50.0,19.0,0.7797752808988765
271,gini,50.0,20.0,0.8134831460674157
272,gini,60.0,5.0,0.804494382022472
273,gini,60.0,6.0,0.8033707865168539
274,gini,60.0,7.0,0.8213483146067416
275,gini,60.0,8.0,0.7853932584269663
276,gini,60.0,9.0,0.8101123595505617
277,gini,60.0,10.0,0.8146067415730338
278,gini,60.0,11.0,0.7730337078651686
279,gini,60.0,12.0,0.8
280,gini,60.0,13.0,0.7775280898876404
281,gini,60.0,14.0,0.8134831460674159
282,gini,60.0,15.0,0.7808988764044944
283,gini,60.0,16.0,0.7853932584269663
284,gini,60.0,17.0,0.7921348314606741
285,gini,60.0,18.0,0.8101123595505617
286,gini,60.0,19.0,0.8089887640449438
287,gini,60.0,20.0,0.8
288,gini,70.0,5.0,0.7853932584269663
289,gini,70.0,6.0,0.7898876404494382
290,gini,70.0,7.0,0.8123595505617978
291,gini,70.0,8.0,0.8044943820224718
292,gini,70.0,9.0,0.79438202247191
293,gini,70.0,10.0,0.797752808988764
294,gini,70.0,11.0,0.7955056179775282
295,gini,70.0,12.0,0.7977528089887641
296,gini,70.0,13.0,0.7988764044943821
297,gini,70.0,14.0,0.7898876404494382
298,gini,70.0,15.0,0.7887640449438202
299,gini,70.0,16.0,0.797752808988764
300,gini,70.0,17.0,0.804494382022472
301,gini,70.0,18.0,0.801123595505618
302,gini,70.0,19.0,0.7943820224719101
303,gini,70.0,20.0,0.7921348314606742
304,gini,80.0,5.0,0.8157303370786518
305,gini,80.0,6.0,0.8112359550561798
306,gini,80.0,7.0,0.79438202247191
307,gini,80.0,8.0,0.8235955056179776
308,gini,80.0,9.0,0.7955056179775282
309,gini,80.0,10.0,0.7921348314606741
310,gini,80.0,11.0,0.79438202247191
311,gini,80.0,12.0,0.7865168539325842
312,gini,80.0,13.0,0.801123595505618
313,gini,80.0,14.0,0.8134831460674157
314,gini,80.0,15.0,0.7910112359550562
315,gini,80.0,16.0,0.7910112359550563
316,gini,80.0,17.0,0.8191011235955058
317,gini,80.0,18.0,0.7865168539325843
318,gini,80.0,19.0,0.7955056179775282
319,gini,80.0,20.0,0.7932584269662921
320,gini,90.0,5.0,0.8179775280898877
321,gini,90.0,6.0,0.8112359550561798
322,gini,90.0,7.0,0.798876404494382
323,gini,90.0,8.0,0.7752808988764045
324,gini,90.0,9.0,0.795505617977528
325,gini,90.0,10.0,0.7707865168539325
326,gini,90.0,11.0,0.7797752808988764
327,gini,90.0,12.0,0.79438202247191
328,gini,90.0,13.0,0.8202247191011235
329,gini,90.0,14.0,0.80561797752809
330,gini,90.0,15.0,0.804494382022472
331,gini,90.0,16.0,0.7865168539325843
332,gini,90.0,17.0,0.7966292134831461
333,gini,90.0,18.0,0.796629213483146
334,gini,90.0,19.0,0.804494382022472
335,gini,90.0,20.0,0.8123595505617978
336,gini,100.0,5.0,0.8134831460674159
337,gini,100.0,6.0,0.8213483146067416
338,gini,100.0,7.0,0.8258426966292134
339,gini,100.0,8.0,0.7955056179775281
340,gini,100.0,9.0,0.8112359550561796
341,gini,100.0,10.0,0.8168539325842696
342,gini,100.0,11.0,0.8213483146067416
343,gini,100.0,12.0,0.7921348314606742
344,gini,100.0,13.0,0.8
345,gini,100.0,14.0,0.7887640449438202
346,gini,100.0,15.0,0.7898876404494383
347,gini,100.0,16.0,0.7865168539325843
348,gini,100.0,17.0,0.8146067415730338
